# source	GeoNames (https://www.geonames.org) — CC BY 4.0
# généré par	scripts/build-chad-geography.mjs
# colonnes	kind puis champs propres au niveau — voir docs/chad-geography-sources.md
P	01	Batha	إقليم البطحة	2435899
P	02	Wadi Fira	إقليم وادي فيرا	244877
P	05	Guéra	إقليم قيرا	2431555
P	06	Kanem	منطقة كانم	2430873
P	07	Lac	إقليم البحيرة	2429323
P	08	Logone Occidental	إقليم لوقون الغربي	2429060
P	09	Logone Oriental	إقليم لوقون الشرقي	2429058
P	12	Ouadaï	إقليم واداي	242246
P	13	Salamat	إقليم سلامات	242048
P	14	Tandjilé	إقليم تانجيلي	2425287
P	15	Chari-Baguirmi	شاري باقرمي	2434478
P	16	Mayo-Kebbi Est	إقليم مايو كيبي الشرقي	2428132
P	17	Moyen-Chari	إقليم شاري الأوسط	2427315
P	18	Hadjer-Lamis	ولاية حجر لميس	7603251
P	19	Mandoul	ولاية ماندول	7603252
P	20	Mayo-Kebbi Ouest	إقليم مايو كيبي الغربي	7603253
P	21	N’Djaména	انجمينا	7603254
P	22	Barh el Gazel	ولاية بحر الغزال	7603255
D	12180690	21	Dixième Arrondissement	الدائرة العاشرة	12180690
D	12186898	22	Barh-El-Gazel Nord	بحر الغزال شمال	12186898
D	12186899	22	Barh-El-Gazel Sud	بحر الغزال جنوب	12186899
D	12186900	22	Barh-El-Gazel Ouest	بحر الغزال غرب	12186900
D	12186902	22	Kléta	كليتا	12186902
D	12186859	23	Gouro	قورو	12186859
D	12186862	23	Borkou	بوركو	12186862
D	12186863	23	Borkou-Yala	بوركو-يالا	12186863
D	12186864	23	Kouba	كُبا	12186864
D	12186865	23	Emi-Koussi	إيمي كوسي	12186865
D	12186504	25	Kimiti	كيمتي	12186504
D	12186505	25	Tissi	تيسي	12186505
D	12186513	25	Adé	آدي	12186513
D	12186514	25	Koukou-Angarana	كوكو انقرارنا	12186514
D	12186547	25	Djourf-Al-Ahmar	الجرف الأحمر	12186547
D	12186866	26	Tibesti-Est	تبستي الشرقية	12186866
D	12186867	26	Tibesti-Ouest	تبستي الغربية	12186867
D	12186887	26	Wour	وور	12186887
D	12186889	26	Aouzou	أوزو	12186889
D	12186851	27	Amdjarass	أم جرس	12186851
D	12186853	27	Itou	إيتو	12186853
D	12186854	27	Bao	باو	12186854
D	12186855	27	Mourdi	موردي	12186855
